field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;4bcef9sqkbml7b2jtqhbz602d;1;1;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;GK;Lola Gallardo;;;;;;
2;2ac25gja4xuyp8xqe2uvdslqs;2;23;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;DR;Alexia Fernández;;;;;;
2;7vtua260sxp339ie21any0zc9;3;14;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;DL;Rosa Otermín;;;;7njoaie052f065a469qkcg7is;57,0;2,0
2;d0i38pk78vbxoqz7x2rzz8cx6;4;3;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;DC;Andrea Medina;;;;;;
2;51t40jr0wwgmuya85pnhjgx2i;5;4;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;DC;Lauren;;;;;;
2;efxmnnjg8l00ns74d7nnloi22;6;5;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;DC;Xènia Pérez;;;;;;
3;24qwx85sfxy0r8pld85w7tzze;7;12;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;MC;K. Kühl;;;;dej9w2n7m9uzfb12yozvly5pm;45,0;2,0
3;5adluw93r1tx4n3ta3wyhj7bp;8;6;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;MC;V. Bøe Risa;;;;;;
4;cl94qe8su9mdjcijafr4gst4a;9;18;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;FW;Gio Garbelini;;;;5de2lhx1gnd8ks8pmge8plb6d;57,0;2,0
4;ent3o8sh6zn2mpe7m9p8q1sve;10;20;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;FW;Amaiur Sarriegi;;;;49klmhzbsmlxnkp2w60y66sph;74,0;2,0
3;bdaicql6er9antum0eaar9x0q;11;21;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;MC;Fiamma Benítez;;;;;;
5;1bvbnq69gxx0nciovzzf6o8dm;0;13;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;Sub;;;;;;;
5;5de2lhx1gnd8ks8pmge8plb6d;0;7;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;Sub;S. Jensen;cl94qe8su9mdjcijafr4gst4a;57,0;2,0;;;
5;49klmhzbsmlxnkp2w60y66sph;0;9;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;Sub;Sheila Guijarro;ent3o8sh6zn2mpe7m9p8q1sve;74,0;2,0;;;
5;c488qzg90zf43v7fro912z9t6;0;16;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;Sub;;;;;;;
5;dej9w2n7m9uzfb12yozvly5pm;0;17;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;Sub;Júlia Bartel;24qwx85sfxy0r8pld85w7tzze;45,0;2,0;;;
5;4nvfy4deuo9cmsegz492aq2g9;0;19;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;Sub;;;;;;;
5;7njoaie052f065a469qkcg7is;0;22;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;Sub;Luany;7vtua260sxp339ie21any0zc9;57,0;2,0;;;
5;b0623bg2k7c2chlsz1n32qk2c;0;27;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;Sub;;;;;;;
5;bpntu6wc1knqwt1ilgbddri8k;0;41;10;8zt8rrm6v5nccv01v6pef0r1o;88615duwe4jthb5gb60g59nv8;home;1;Sub;;;;;;;
1;77pobry4mbh5wojka1ikgty7e;1;1;12;4vvf3sulx3a61fiyaarjdndjs;88615duwe4jthb5gb60g59nv8;away;1;GK;Paola Ulloa;;;;;;
3;24fopza4zrtm63pyjkl55beac;2;14;12;4vvf3sulx3a61fiyaarjdndjs;88615duwe4jthb5gb60g59nv8;away;1;DMR;Alba Ruiz;;;;;;
3;5x93ra7unls3fac5gomibwel1;3;17;12;4vvf3sulx3a61fiyaarjdndjs;88615duwe4jthb5gb60g59nv8;away;1;DML;A. Poljak;;;;;;
2;3iangrthyltpl31m4v1qkgn2t;4;5;12;4vvf3sulx3a61fiyaarjdndjs;88615duwe4jthb5gb60g59nv8;away;1;DC;Mônica;;;;;;
