id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamKit;value_Involved;value_TeamPlayerFormation;value_PlayerPosition;value_JerseyNumber;value_Resume;value_TeamFormation;value_Captain;value_DirectionOfPlay;value_Angle;value_PassEndX;value_KickOff;value_Length;value_PassEndY;value_Zone;value_LongBall;value_Launch;value_HeadPass;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_FlickOn;value_IntendedTackleTarget;value_Chipped;value_KeeperThrow;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_Standing;value_OutOfPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_High;value_DeletedEventType;value_OverArm;value_Direct;value_AttemptedTackle;value_Foul;value_FreeKickTaken;value_Cross;value_IntentionalAssist;value_Assist;value_RegularPlay;value_GoalmouthY;value_GoalmouthZ;value_GoalShotTimestamp;value_LeftFooted;value_Assisted;value_SmallBoxCentre;value_GkX;value_GoalShotGameClock;value_GkY;value_HighLeft;value_RelatedEventId;value_BigChance;value_Head;value_LowCentre;value_BoxCentre;value_BlockedX;value_LowLeft;value_IndividualPlay;value_BoxRight;value_RightFooted;value_BlockedY;value_Hands;value_ParriedSafe;value_Blocked;value_OutOfBoxCentre;value_NotAssisted;value_FirstTouch;value_DefBlock;value_1On1;value_NotVisible;value_LowRight;value_ShirtPull/Holding;value_SwitchOfPlay;value_Left;value_Right;value_CornerTaken;value_OutSwinger;value_HighCentre;value_FromCorner;value_GkKickFromHands;value_PlayersCaughtOffside;value_BoxLeft;value_Indirect;value_HighRight;value_Minutes;value_CloseRightAndHigh;value_Overrun;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_RecklessOffence;value_YellowCard;value_Injury;value_InjuredPlayerId;value_TempBlocked;value_Review;value_InSwinger;value_SavedOffLine;value_SixYardBlocked;value_LastLine;value_AwaitingOfficial'SDecision;value_RefereeDelay;value_VarDelay;value_ReviewedEventId;value_RefereeDecisionConfirmed;value_VarPenaltyNotAwarded;value_FastBreak;value_SoloRun;value_Weak;value_NotPastGoalLine;value_PreReviewEventType;value_VarGoalAwarded;value_RefereeDecisionCancelled;value_SetPiece;value_BlockedCross;value_CloseLeft;value_FreeKick;value_OutOfBoxDeepRight;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2902392639;1;34;16;0;0;4vvf3sulx3a61fiyaarjdndjs;1;0,0;0,0;2026-02-21T10:06:51.902Z;2026-02-21T10:54:46Z;[{'id': 6217825639, 'qualifierId': 197, 'value': '31118'}, {'id': 6217793751, 'qualifierId': 30, 'value': '77pobry4mbh5wojka1ikgty7e, 24fopza4zrtm63pyjkl55beac, 5x93ra7unls3fac5gomibwel1, 3iangrthyltpl31m4v1qkgn2t, 1zlt1xabh07byc3u8oid9gdn8, 9jxxujnb2eoo7avj278ppnqvp, c3plg9ommu3i24xx3nfm6wbxm, fu9ab6roj0yeyr7c0tizygut, erixarzbmkelmcjsyz4s4mxas, 6i6zgplhzlmh16regzo5hyrit, 5kio1iodx7cq9i9p9kql1nuuh, 2ye5nuz91lydf7s9iy96346qc, 5gez27rqa4vdhazfrxw2b4o44, 9ld622ld2el1ql9vy2akchfit, eitv6t0xve84dgqlxutee0ys4, b9rcv1fsqcwockfpbkl58tl, as46cuq3qee83uxgifxo0r88a, 47wzwvf5ksv7kdivj9ra96l0p, 8hlr276ut3utppvvxt2t3xmac'}, {'id': 6217793759, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6217793753, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6217793755, 'qualifierId': 59, 'value': '1, 14, 17, 5, 4, 19, 3, 16, 11, 23, 20, 30, 6, 7, 9, 10, 21, 24, 35'}, {'id': 6217793763, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6217793757, 'qualifierId': 130, 'value': '12'}, {'id': 6217793761, 'qualifierId': 194, 'value': '77pobry4mbh5wojka1ikgty7e'}];;;;;8auwnphg4vhaxmpg3nsokobv8;Team set up;31118,0;;;;;;12,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;home;;;;;;;;;0;0;0;0;Alhama;0;;
2902393141;1;34;16;0;0;eqaszp3lzhffqt4f8hmzov72j;1;0,0;0,0;2026-02-21T10:14:40.855Z;2026-02-21T11:52:54Z;[{'id': 6217825673, 'qualifierId': 197, 'value': '32059'}, {'id': 6217796949, 'qualifierId': 194, 'value': 'c4bthgzk7mykmnkyn4142i3v8'}, {'id': 6217796941, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6217796945, 'qualifierId': 130, 'value': '13'}, {'id': 6217796943, 'qualifierId': 59, 'value': '13, 20, 10, 27, 4, 3, 18, 14, 21, 7, 9, 1, 8, 16, 17, 19, 26, 28'}, {'id': 6217796947, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6217796951, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6217796939, 'qualifierId': 30, 'value': '7gpnz1p2uo8vm1595l9cc3tw4, 9xg6l39bftoa444kjaeja44k4, bwefhg110kbph4g04in7ynu38, 7lz9iwcnofeaf34b8r8l8baj8, c4bthgzk7mykmnkyn4142i3v8, 61lmq2vr8k8ccuf1yo9llk5m2, dedalbg17clun6r7prnhv3384, dpygkj4rlv7yhbpgsx0za6n6x, aoy956n72pya0cc6bqj5x736x, bww0ejpmnr71he9h4t8r439w5, 5lwte3qujkcw20jcc691itbdh, euieo81aiyv4wqldc8owokset, 79zpaj24j11e9aajt7vmjf88a, dctg8049f5wz2ofi0fqjvauxg, cndbae3p3ag0t2qpt22wafo8a, 3mgkmvazmdqvhtnkkigc24e3u, 7y5i3b9mkhl6jryxr3pz7aq6s, 1onayabdcirreh4inx4usrbbo'}];;;;;8auwnphg4vhaxmpg3nsokobv8;Team set up;32059,0;;;;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eqaszp3lzhffqt4f8hmzov72j;Alhama;away;;;;;;;;;0;0;0;0;Madrid;0;;
2902398801;2;32;1;0;0;4vvf3sulx3a61fiyaarjdndjs;1;0,0;0,0;2026-02-21T11:00:11.030Z;2026-02-21T11:00:11Z;[{'id': 6217829201, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;8auwnphg4vhaxmpg3nsokobv8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;home;;;;;;;;;0;0;0;0;Alhama;0;;
2902398807;2;32;1;0;0;eqaszp3lzhffqt4f8hmzov72j;1;0,0;0,0;2026-02-21T11:00:11.030Z;2026-02-21T11:00:12Z;[{'id': 6217829219, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;8auwnphg4vhaxmpg3nsokobv8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eqaszp3lzhffqt4f8hmzov72j;Alhama;away;;;;;;;;;0;0;0;0;Madrid;0;;
2902398813;3;1;1;0;0;4vvf3sulx3a61fiyaarjdndjs;1;49,9;50,1;2026-02-21T11:00:11.031Z;2026-02-21T11:00:14Z;[{'id': 6217829243, 'qualifierId': 213, 'value': '2.75'}, {'id': 6217829237, 'qualifierId': 140, 'value': '40.1'}, {'id': 6217829245, 'qualifierId': 279, 'value': 'S'}, {'id': 6217829241, 'qualifierId': 212, 'value': '11.1'}, {'id': 6217829239, 'qualifierId': 141, 'value': '56.3'}, {'id': 6217829235, 'qualifierId': 56, 'value': 'Back'}];6i6zgplhzlmh16regzo5hyrit;E. Nautnes;;;8auwnphg4vhaxmpg3nsokobv8;Pass;;;;;;;;;;2,75;40,1;;11,1;56,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;home;40,1;56,3;;;;;;;0;0;0;0;Alhama;0;FW;1,0
2902398817;4;1;1;0;2;4vvf3sulx3a61fiyaarjdndjs;0;40,1;56,3;2026-02-21T11:00:13.892Z;2026-02-21T11:00:16Z;[{'id': 6217829267, 'qualifierId': 141, 'value': '18.6'}, {'id': 6217829263, 'qualifierId': 56, 'value': 'Right'}, {'id': 6217829265, 'qualifierId': 140, 'value': '77.3'}, {'id': 6217829273, 'qualifierId': 1}, {'id': 6217829261, 'qualifierId': 157}, {'id': 6217829271, 'qualifierId': 213, 'value': '5.70'}, {'id': 6217829269, 'qualifierId': 212, 'value': '46.7'}];5kio1iodx7cq9i9p9kql1nuuh;Ángela Sosa;;;8auwnphg4vhaxmpg3nsokobv8;Pass;;;;;;;;;;5,7;77,3;;46,7;18,6;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;home;77,3;18,6;;;;;;;0;0;0;2;Alhama;2;AMC;1,0
2902398833;3;1;1;0;6;eqaszp3lzhffqt4f8hmzov72j;1;21,5;89,4;2026-02-21T11:00:17.176Z;2026-02-21T11:00:20Z;[{'id': 6217829343, 'qualifierId': 141, 'value': '87.6'}, {'id': 6217829337, 'qualifierId': 3}, {'id': 6217829345, 'qualifierId': 212, 'value': '12.3'}, {'id': 6217829339, 'qualifierId': 56, 'value': 'Back'}, {'id': 6217829347, 'qualifierId': 213, 'value': '6.18'}, {'id': 6217829341, 'qualifierId': 140, 'value': '33.2'}];7lz9iwcnofeaf34b8r8l8baj8;Carla Castiñeyras;;;8auwnphg4vhaxmpg3nsokobv8;Pass;;;;;;;;;;6,18;33,2;;12,3;87,6;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eqaszp3lzhffqt4f8hmzov72j;Alhama;away;33,2;87,6;;;;;;;0;0;0;6;Madrid;6;DC;1,0
2902398839;4;44;1;0;8;eqaszp3lzhffqt4f8hmzov72j;1;33,2;87,6;2026-02-21T11:00:19.847Z;2026-02-21T11:49:12Z;[{'id': 6217829411, 'qualifierId': 233, 'value': '5'}, {'id': 6217829369, 'qualifierId': 285}, {'id': 6217829367, 'qualifierId': 56, 'value': 'Back'}];5lwte3qujkcw20jcc691itbdh;Raquel Pinel;;;8auwnphg4vhaxmpg3nsokobv8;Aerial;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eqaszp3lzhffqt4f8hmzov72j;Alhama;away;;;;;;;;;0;0;0;8;Madrid;8;FWL;1,0
2902398837;5;44;1;0;8;4vvf3sulx3a61fiyaarjdndjs;0;66,8;12,4;2026-02-21T11:00:19.848Z;2026-02-21T11:49:12Z;[{'id': 6217829363, 'qualifierId': 56, 'value': 'Right'}, {'id': 6217829431, 'qualifierId': 233, 'value': '4'}, {'id': 6217829365, 'qualifierId': 286}];c3plg9ommu3i24xx3nfm6wbxm;Esther Laborde;;;8auwnphg4vhaxmpg3nsokobv8;Aerial;;;;;;;;;;;;;;;;;;;4,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4vvf3sulx3a61fiyaarjdndjs;Madrid;home;;;;;;;;;0;0;0;8;Alhama;8;MC;1,0
2902398841;5;1;1;0;8;eqaszp3lzhffqt4f8hmzov72j;0;33,2;87,6;2026-02-21T11:00:20.024Z;2026-02-21T11:49:13Z;[{'id': 6217829379, 'qualifierId': 141, 'value': '77.4'}, {'id': 6217829371, 'qualifierId': 3}, {'id': 6217829375, 'qualifierId': 56, 'value': 'Back'}, {'id': 6217829373, 'qualifierId': 168}, {'id': 6217829377, 'qualifierId': 140, 'value': '36.8'}, {'id': 6217829381, 'qualifierId': 212, 'value': '7.9'}, {'id': 6217829383, 'qualifierId': 213, 'value': '5.21'}];5lwte3qujkcw20jcc691itbdh;Raquel Pinel;;;8auwnphg4vhaxmpg3nsokobv8;Pass;;;;;;;;;;5,21;36,8;;7,9;77,4;;;;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eqaszp3lzhffqt4f8hmzov72j;Alhama;away;36,8;77,4;;;;;;;0;0;0;8;Madrid;8;FWL;1,0
