id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_TeamFormation;value_Captain;value_Involved;value_TeamKit;value_DirectionOfPlay;value_PassEndY;value_Length;value_Zone;value_PassEndX;value_Angle;value_KickOff;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_BlockedPass;value_Offensive;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_Standing;value_Chipped;value_HeadPass;value_Assist;value_GkY;value_GoalmouthZ;value_CloseLeft;value_RightFooted;value_IndividualPlay;value_OutOfBoxCentre;value_Assisted;value_RelatedEventId;value_GkX;value_RegularPlay;value_GoalmouthY;value_NextEventGoalKick;value_High;value_GoalKick;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_Cross;value_Head;value_Foul;value_AttemptedTackle;value_Direct;value_FreeKickTaken;value_NotVisible;value_OutOfPlay;value_DeletedEventType;value_IntentionalAssist;value_OutSwinger;value_BoxCentre;value_FirstTouch;value_FromCorner;value_FlickOn;value_ThroughBall;value_KeeperThrow;value_GkKickFromHands;value_SwitchOfPlay;value_HighClaim;value_GkHoof;value_IntendedTackleTarget;value_PullBack;value_OverhitCross;value_PlayersCaughtOffside;value_Indirect;value_InjuredPlayerId;value_Injury;value_LayOff;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_LowLeft;value_BlockedY;value_FastBreak;value_BlockedX;value_Blocked;value_DefBlock;value_Minutes;value_EndType;value_HighRight;value_OverArm;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Low;value_NotAssisted;value_LowCentre;value_Review;value_CloseRight;value_AwaitingOfficial'SDecision;value_VarDelay;value_RefereeDelay;value_RefereeDecisionConfirmed;value_VarPenaltyNotAwarded;value_ReviewedEventId;value_CaptainChange;value_LowRight;value_Var(Red)CardUpgrade;value_RefereeDecisionCancelled;value_Handball;value_BoxRight;value_BigChance;value_ParriedSafe;value_Hands;value_GoalShotGameClock;value_SmallBoxCentre;value_GoalShotTimestamp;value_1On1;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2903206143;1;34;16;0;0;1azk57wev30h044w949j46kpu;1;0,0;0,0;2026-02-22T10:24:38.681Z;2026-02-22T12:01:22Z;[{'id': 6222290347, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6222290337, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6222290339, 'qualifierId': 59, 'value': '13, 19, 17, 23, 2, 20, 8, 5, 21, 15, 18, 1, 3, 6, 7, 11, 14, 22, 27, 33'}, {'id': 6222290343, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6222290341, 'qualifierId': 130, 'value': '17'}, {'id': 6222290345, 'qualifierId': 194, 'value': 'f0m3ncnvrrrj3wcgzrz7ja44q'}, {'id': 6222290335, 'qualifierId': 30, 'value': 'ea2eq21d08asfeqh17vcxpwmi, 80mcpvqyzv4p4cylxf8ldp4wk, f0m3ncnvrrrj3wcgzrz7ja44q, 6k7q93a4voahfxlzfv0zbkmj8, etzoltim8ktgsaidhpebhnx79, ef8jptd63fi9rll1e1gx61z6y, 4u67uu52ej13738mz4dh9bj3e, 4a99aji2n5ff9ep2b0foqquc4, 7kpdwc6djafecp09r6fb1vjoq, eb1k3xi1oy9c5xkc30fgodg4, bpk64d0puoo2xofbb5k4ffuac, eb2nuinewhu5gjp2vadk5reac, 3nmk8e4y0vu8ov2whpdannnkk, 3jsqviuejf6t4u53cdgbeix62, envd6nvea5ssa98mq2bnd7otm, 88cflr7hnw1o3ej6y3wsj5p0p, 4by0xo4xinb0m8nziofw0g3bp, 5bqaqivhq29bsxz7qc2mwsp3o, 2dwfufm7dx4dovtt5rorjbml0, eoun08rw7vm8db6m4scmh5yc4'}, {'id': 6222324967, 'qualifierId': 197, 'value': '25718'}];;;;;8b8qojrl7pmleq86uh9y0bhn8;Team set up;;;;;17,0;;;25718,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1azk57wev30h044w949j46kpu;Athletic Club;away;;;;;;;;;0;0;0;0;Eibar;0;;
2903206259;1;34;16;0;0;6fg6tuq29l23vvmfaoivzmbx1;1;0,0;0,0;2026-02-22T10:25:28.292Z;2026-02-22T11:04:39Z;[{'id': 6222290967, 'qualifierId': 30, 'value': 'iriiooo2eacjvjss09dji61g, aa93kg4nfvrpthvfkkofixwtm, cyvcp1wbmekxyimpn0h2ns1lg, emazp2zauu9cblvpqfi755zx0, d7vhkxz4gdhwnsd0oiztdbpck, 1irpc9x4x768hnjfi9nrgzuqy, 13qp3h155vacydpb3nofof76c, a7eeg2or4fvy6njfrnkk6a3h0, 3z91j68ij26ar4vifyqyp34k, ek8cj5w1l0wwmb0l8dshbgz4l, eeukxmlk6l0vizkobfe7qd2xg, 7gcrxiaklk95izfsauw1i38yc, 2d1defd89f1nrpb0gi6cciwru, 4ielw02dxp2ngk60pfoa5ic4, ask7272fx27cnoyftytqked5g, 2so1eg2z8u6bmtfp00aggqgic, dyuj9k3ocns595d2rossgl3pw, esqhp0wt0ni6wgtvnxpha6fl6, a55xecni0b1u644nncny1m356, 8qmn7prsk9gbxwtvh4xvbw7pw'}, {'id': 6222290973, 'qualifierId': 130, 'value': '11'}, {'id': 6222290979, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6222290969, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6222290977, 'qualifierId': 194, 'value': 'ek8cj5w1l0wwmb0l8dshbgz4l'}, {'id': 6222290975, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6222324841, 'qualifierId': 197, 'value': '31109'}, {'id': 6222290971, 'qualifierId': 59, 'value': '1, 5, 11, 12, 20, 4, 19, 18, 16, 7, 14, 13, 6, 10, 21, 22, 23, 27, 28, 30'}];;;;;8b8qojrl7pmleq86uh9y0bhn8;Team set up;;;;;11,0;;;31109,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6fg6tuq29l23vvmfaoivzmbx1;Eibar;home;;;;;;;;;0;0;0;0;Athletic Club;0;;
2903213175;2;32;1;0;0;1azk57wev30h044w949j46kpu;1;0,0;0,0;2026-02-22T11:00:12.589Z;2026-02-22T11:00:12Z;[{'id': 6222330075, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;8b8qojrl7pmleq86uh9y0bhn8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1azk57wev30h044w949j46kpu;Athletic Club;away;;;;;;;;;0;0;0;0;Eibar;0;;
2903213179;2;32;1;0;0;6fg6tuq29l23vvmfaoivzmbx1;1;0,0;0,0;2026-02-22T11:00:12.589Z;2026-02-22T11:00:14Z;[{'id': 6222330089, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;8b8qojrl7pmleq86uh9y0bhn8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6fg6tuq29l23vvmfaoivzmbx1;Eibar;home;;;;;;;;;0;0;0;0;Athletic Club;0;;
2903213189;3;1;1;0;0;1azk57wev30h044w949j46kpu;1;50,0;50,0;2026-02-22T11:00:12.590Z;2026-02-22T11:00:14Z;[{'id': 6222330149, 'qualifierId': 141, 'value': '63.9'}, {'id': 6222330151, 'qualifierId': 212, 'value': '22.6'}, {'id': 6222330145, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222330147, 'qualifierId': 140, 'value': '30.4'}, {'id': 6222330153, 'qualifierId': 213, 'value': '2.71'}, {'id': 6222330155, 'qualifierId': 279, 'value': 'S'}];7kpdwc6djafecp09r6fb1vjoq;Ane Campos;;;8b8qojrl7pmleq86uh9y0bhn8;Pass;;;;;;;;;;63,9;22,6;;30,4;2,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1azk57wev30h044w949j46kpu;Athletic Club;away;30,4;63,9;;;;;;;0;0;0;0;Eibar;0;AMC;1,0
2903213207;4;1;1;0;2;1azk57wev30h044w949j46kpu;1;30,4;63,9;2026-02-22T11:00:14.794Z;2026-02-22T11:47:22Z;[{'id': 6222330269, 'qualifierId': 141, 'value': '51.3'}, {'id': 6222330265, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222330271, 'qualifierId': 212, 'value': '8.6'}, {'id': 6222330267, 'qualifierId': 140, 'value': '30.3'}, {'id': 6222330273, 'qualifierId': 213, 'value': '4.70'}];4a99aji2n5ff9ep2b0foqquc4;Maite Valero;;;8b8qojrl7pmleq86uh9y0bhn8;Pass;;;;;;;;;;51,3;8,6;;30,3;4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1azk57wev30h044w949j46kpu;Athletic Club;away;30,3;51,3;;;;;;;0;0;0;2;Eibar;2;DMC;1,0
2903213215;5;1;1;0;5;1azk57wev30h044w949j46kpu;1;30,3;51,3;2026-02-22T11:00:17.642Z;2026-02-22T11:47:47Z;[{'id': 6222330347, 'qualifierId': 141, 'value': '70.3'}, {'id': 6222330351, 'qualifierId': 213, 'value': '1.41'}, {'id': 6222330349, 'qualifierId': 212, 'value': '13.1'}, {'id': 6222330343, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222330345, 'qualifierId': 140, 'value': '32.3'}];4u67uu52ej13738mz4dh9bj3e;Maite Zubieta;;;8b8qojrl7pmleq86uh9y0bhn8;Pass;;;;;;;;;;70,3;13,1;;32,3;1,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1azk57wev30h044w949j46kpu;Athletic Club;away;32,3;70,3;;;;;;;0;0;0;5;Eibar;5;DMC;1,0
2903213225;6;1;1;0;7;1azk57wev30h044w949j46kpu;1;32,3;70,3;2026-02-22T11:00:20.355Z;2026-02-22T11:47:35Z;[{'id': 6222330407, 'qualifierId': 140, 'value': '41.2'}, {'id': 6222330409, 'qualifierId': 141, 'value': '93.3'}, {'id': 6222330413, 'qualifierId': 213, 'value': '1.03'}, {'id': 6222330411, 'qualifierId': 212, 'value': '18.2'}, {'id': 6222330405, 'qualifierId': 56, 'value': 'Back'}];4a99aji2n5ff9ep2b0foqquc4;Maite Valero;;;8b8qojrl7pmleq86uh9y0bhn8;Pass;;;;;;;;;;93,3;18,2;;41,2;1,03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1azk57wev30h044w949j46kpu;Athletic Club;away;41,2;93,3;;;;;;;0;0;0;7;Eibar;7;DMC;1,0
2903213235;7;1;1;0;9;1azk57wev30h044w949j46kpu;1;41,2;93,3;2026-02-22T11:00:22.034Z;2026-02-22T11:00:26Z;[{'id': 6222330469, 'qualifierId': 212, 'value': '13.1'}, {'id': 6222330465, 'qualifierId': 140, 'value': '35.0'}, {'id': 6222330471, 'qualifierId': 213, 'value': '4.19'}, {'id': 6222330461, 'qualifierId': 56, 'value': 'Back'}, {'id': 6222330467, 'qualifierId': 141, 'value': '76.6'}];f0m3ncnvrrrj3wcgzrz7ja44q;Nerea Nevado;;;8b8qojrl7pmleq86uh9y0bhn8;Pass;;;;;;;;;;76,6;13,1;;35,0;4,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1azk57wev30h044w949j46kpu;Athletic Club;away;35,0;76,6;;;;;;;0;0;0;9;Eibar;9;DML;1,0
2903213247;8;1;1;0;13;1azk57wev30h044w949j46kpu;1;37,3;71,2;2026-02-22T11:00:26.139Z;2026-02-22T11:00:27Z;[{'id': 6222330527, 'qualifierId': 213, 'value': '4.11'}, {'id': 6222330523, 'qualifierId': 141, 'value': '46.3'}, {'id': 6222330521, 'qualifierId': 140, 'value': '26.3'}, {'id': 6222330525, 'qualifierId': 212, 'value': '20.5'}, {'id': 6222330519, 'qualifierId': 56, 'value': 'Back'}];4a99aji2n5ff9ep2b0foqquc4;Maite Valero;;;8b8qojrl7pmleq86uh9y0bhn8;Pass;;;;;;;;;;46,3;20,5;;26,3;4,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1azk57wev30h044w949j46kpu;Athletic Club;away;26,3;46,3;;;;;;;0;0;0;13;Eibar;13;DMC;1,0
