id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_PlayerPosition;value_TeamFormation;value_Involved;value_JerseyNumber;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_Captain;value_DirectionOfPlay;value_Length;value_Zone;value_PassEndY;value_KickOff;value_PassEndX;value_Angle;value_Launch;value_LongBall;value_Chipped;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_BlockedY;value_BlockedX;value_GoalmouthY;value_GoalmouthZ;value_OutOfBoxCentre;value_RegularPlay;value_NotAssisted;value_LowCentre;value_LeftFooted;value_Collected;value_Standing;value_Hands;value_KeeperThrow;value_IntendedTackleTarget;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_Assist;value_IntentionalAssist;value_GkX;value_GoalShotGameClock;value_GkY;value_GoalShotTimestamp;value_RelatedEventId;value_LowLeft;value_Assisted;value_BoxCentre;value_Handball;value_HeadPass;value_PlayersCaughtOffside;value_Indirect;value_NotVisible;value_Cross;value_FreeKick;value_CloseLeft;value_RightFooted;value_NextEventGoalKick;value_GoalKick;value_Low;value_FlickOn;value_IndividualPlay;value_CloseRight;value_High;value_OutOfPlay;value_BlockedPass;value_ParriedSafe;value_Right;value_Left;value_InSwinger;value_CornerTaken;value_LayOff;value_HighRight;value_DeletedEventType;value_Head;value_Overrun;value_OverhitCross;value_BlockedCross;value_FromCorner;value_FirstTouch;value_GkKickFromHands;value_Blocked;value_35Centre;value_DefBlock;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_OverArm;value_SetPiece;value_GkChallenge;value_BigChance;value_InjuredPlayerId;value_Injury;value_CloseRightAndHigh;value_Minutes;value_LowRight;value_EndType;value_GkHoof;value_HighCentre;value_RecklessOffence;value_SmallBoxCentre;value_NotPastGoalLine;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_BoxRight;value_PullBack;value_FairPlay;value_Review;value_RefereeDelay;value_VarDelay;value_AwaitingOfficial'SDecision;value_RefereeDecisionConfirmed;value_Var(Red)CardUpgrade;value_ReviewedEventId;value_Dissent;value_PreReviewEventType;value_RefereeDecisionCancelled;value_VarGoalAwarded;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2902393095;1;34;16;0;0;9ns699xp353c84r1g6epazycl;1;0,0;0,0;2026-02-21T10:13:52.786Z;2026-02-21T11:21:41Z;[{'id': 6217796647, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6217796651, 'qualifierId': 130, 'value': '10'}, {'id': 6217796645, 'qualifierId': 30, 'value': '6uttq0cpsnicezpcqy36p7r4k, 52ic0j91dhgr0vud2agr4ev2t, 453st4qm4pnm6rrtzpm5jl2c4, aktfohaqh9czmqesi39tstlka, 5v9tp42v0yvoo90m7dp7x3jhm, 20a7qqb9irw4hspharzy94ro4, 1jjfj4cr50dlr3c1zo540yove, 3u9vtcqa5td8weoufpzirruhg, 9azsnuqjm6gmqzfmfal9c920a, 791g6utcjg9779zlvf7gyavze, 8tmzjcaglix0qj8zy7yp8w7o, 9806puntyqdx2m1gp55p2qbfu, dcaqvm99rw749d3n6lhuwo1lg, a1eqxs80sdwhvtr9yqjyc2mz9, 3xb2uzq931o6up0v2b30zyvbo, 6bbev67xsz4c5s8wvs9gkfpey, 9zb6yi1vbs08992zoe06dczys, 8qfyez69wz7graymj2whaqtjo, 5gphbb3g9xk70g78l0367hc0k, 2dn8sb8g4ced7wbpmd0nfd53o, 1b7vrqk6erhivegpe784op3is'}, {'id': 6217796649, 'qualifierId': 59, 'value': '1, 17, 15, 4, 5, 3, 8, 6, 9, 11, 20, 13, 2, 14, 18, 21, 22, 23, 24, 29, 31'}, {'id': 6217825677, 'qualifierId': 197, 'value': '25826'}, {'id': 6217796653, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6217796657, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6217796655, 'qualifierId': 194, 'value': '52ic0j91dhgr0vud2agr4ev2t'}];;;;;8cgdtx10ootbfg6kfbckt7c44;Team set up;;10,0;;;25826,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9ns699xp353c84r1g6epazycl;Levante;home;;;;;;;;;0;0;0;0;Deportivo La Coruña;0;;
2902393541;1;34;16;0;0;12ocm5j2bjgggpwl6pou5thym;1;0,0;0,0;2026-02-21T10:18:39.313Z;2026-02-21T16:13:50Z;[{'id': 6217799187, 'qualifierId': 59, 'value': '13, 2, 3, 5, 23, 20, 9, 6, 16, 8, 14, 1, 7, 11, 15, 18, 24, 26, 28, 31'}, {'id': 6217799183, 'qualifierId': 30, 'value': '7vdr4g6rqi77o5jtsqyoy38q1, 6ipxd5xg20qst10lfyufdjahh, 63ooho563znx6qw1c3cbzv36x, cdrvjjlaoedd12ttrlt0euhka, ajhepe1lmit5ye3ncojs4czx1, 98iqeohkfj8obshis2j4yo2s4, eue76km9ft9og6tkeqhrxjluy, 5gjyk71y1tsdzugpdkhndgaju, ji7dle8m8gdw3zi5r6l1n9qs, 1r935k5rouppt9i35uf5lrzmc, 274jakiy8ha6m9ynfwog8axyi, 5ko8ipaec5ldi0erks841mb1m, 15neyz0q98occug2s5irz9yj8, 1mi8aqyvrcv1vsac2nqqq1yc4, cmpi5q3sw4fjuv37fcbzl1rhm, 3guevajrbyrq53q35c3o3v2p6, 6au28zva4o96ztmzepr747wx6, efk70g8k4ewrbussamfvrkd1w, 4fybg79m5egtyphmyhkbbd2qc, 7ndvv1a99459ctajo2ukqjztg'}, {'id': 6217799189, 'qualifierId': 130, 'value': '7'}, {'id': 6217799193, 'qualifierId': 194, 'value': '5gjyk71y1tsdzugpdkhndgaju'}, {'id': 6217799185, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6217799195, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6217799191, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6217825675, 'qualifierId': 197, 'value': '25741'}];;;;;8cgdtx10ootbfg6kfbckt7c44;Team set up;;7,0;;;25741,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;;;;;;;;;0;0;0;0;Levante;0;;
2902398793;2;32;1;0;0;9ns699xp353c84r1g6epazycl;1;0,0;0,0;2026-02-21T11:00:10.254Z;2026-02-21T11:00:10Z;[{'id': 6217829173, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;8cgdtx10ootbfg6kfbckt7c44;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9ns699xp353c84r1g6epazycl;Levante;home;;;;;;;;;0;0;0;0;Deportivo La Coruña;0;;
2902398795;2;32;1;0;0;12ocm5j2bjgggpwl6pou5thym;1;0,0;0,0;2026-02-21T11:00:10.254Z;2026-02-21T11:00:11Z;[{'id': 6217829175, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;8cgdtx10ootbfg6kfbckt7c44;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;;;;;;;;;0;0;0;0;Levante;0;;
2902398811;3;1;1;0;0;12ocm5j2bjgggpwl6pou5thym;1;50,4;50,4;2026-02-21T11:00:10.255Z;2026-02-21T12:10:26Z;[{'id': 6217829227, 'qualifierId': 212, 'value': '21.6'}, {'id': 6217829221, 'qualifierId': 56, 'value': 'Back'}, {'id': 6217829225, 'qualifierId': 141, 'value': '51.2'}, {'id': 6217829231, 'qualifierId': 279, 'value': 'S'}, {'id': 6217829223, 'qualifierId': 140, 'value': '29.8'}, {'id': 6217829229, 'qualifierId': 213, 'value': '3.12'}];1r935k5rouppt9i35uf5lrzmc;Olaya Rodríguez;;;8cgdtx10ootbfg6kfbckt7c44;Pass;;;;;;;;;;21,6;;51,2;;29,8;3,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;29,8;51,2;;;;;;;0;0;0;0;Levante;0;MC;1,0
2902398819;4;1;1;0;2;12ocm5j2bjgggpwl6pou5thym;1;29,8;51,2;2026-02-21T11:00:12.750Z;2026-02-21T11:00:16Z;[{'id': 6217829275, 'qualifierId': 157}, {'id': 6217829279, 'qualifierId': 140, 'value': '76.3'}, {'id': 6217829287, 'qualifierId': 1}, {'id': 6217829281, 'qualifierId': 141, 'value': '73.5'}, {'id': 6217829277, 'qualifierId': 56, 'value': 'Center'}, {'id': 6217829283, 'qualifierId': 212, 'value': '51.1'}, {'id': 6217829285, 'qualifierId': 213, 'value': '0.30'}];98iqeohkfj8obshis2j4yo2s4;Elena Vázquez;;;8cgdtx10ootbfg6kfbckt7c44;Pass;;;;;;;;;;51,1;;73,5;;76,3;0,3;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;76,3;73,5;;;;;;;0;0;0;2;Levante;2;DC;1,0
2902398823;5;61;1;0;4;12ocm5j2bjgggpwl6pou5thym;0;76,3;73,5;2026-02-21T11:00:15.238Z;2026-02-21T12:11:48Z;[{'id': 6217829305, 'qualifierId': 56, 'value': 'Center'}];eue76km9ft9og6tkeqhrxjluy;E. Pizarro;;;8cgdtx10ootbfg6kfbckt7c44;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;;;;;;;;;0;0;0;4;Levante;4;MR;1,0
2902398821;3;1;1;0;5;9ns699xp353c84r1g6epazycl;0;27,8;30,9;2026-02-21T11:00:16.224Z;2026-02-21T11:00:16Z;[{'id': 6217829293, 'qualifierId': 56, 'value': 'Back'}, {'id': 6217829299, 'qualifierId': 212, 'value': '15.8'}, {'id': 6217829295, 'qualifierId': 140, 'value': '38.1'}, {'id': 6217829291, 'qualifierId': 157}, {'id': 6217829301, 'qualifierId': 213, 'value': '5.47'}, {'id': 6217829297, 'qualifierId': 141, 'value': '14.0'}, {'id': 6217829303, 'qualifierId': 1}];5v9tp42v0yvoo90m7dp7x3jhm;Eva Alonso;;;8cgdtx10ootbfg6kfbckt7c44;Pass;;;;;;;;;;15,8;;14,0;;38,1;5,47;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9ns699xp353c84r1g6epazycl;Levante;home;38,1;14,0;;;;;;;0;0;0;5;Deportivo La Coruña;5;DC;1,0
2902398829;6;1;1;0;7;12ocm5j2bjgggpwl6pou5thym;0;70,7;83,3;2026-02-21T11:00:17.590Z;2026-02-21T11:00:18Z;[{'id': 6217829329, 'qualifierId': 212, 'value': '12.6'}, {'id': 6217829331, 'qualifierId': 213, 'value': '6.20'}, {'id': 6217829323, 'qualifierId': 56, 'value': 'Left'}, {'id': 6217829327, 'qualifierId': 141, 'value': '81.7'}, {'id': 6217829325, 'qualifierId': 140, 'value': '82.7'}];63ooho563znx6qw1c3cbzv36x;Vera Martínez;;;8cgdtx10ootbfg6kfbckt7c44;Pass;;;;;;;;;;12,6;;81,7;;82,7;6,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12ocm5j2bjgggpwl6pou5thym;Deportivo La Coruña;away;82,7;81,7;;;;;;;0;0;0;7;Levante;7;DC;1,0
2902398847;4;1;1;0;8;9ns699xp353c84r1g6epazycl;0;28,3;27,3;2026-02-21T11:00:19.233Z;2026-02-21T11:00:21Z;[{'id': 6217829405, 'qualifierId': 141, 'value': '8.9'}, {'id': 6217829407, 'qualifierId': 212, 'value': '24.8'}, {'id': 6217829403, 'qualifierId': 140, 'value': '48.7'}, {'id': 6217829409, 'qualifierId': 213, 'value': '5.75'}, {'id': 6217829401, 'qualifierId': 56, 'value': 'Back'}];52ic0j91dhgr0vud2agr4ev2t;Alharilla Casado;;;8cgdtx10ootbfg6kfbckt7c44;Pass;;;;;;;;;;24,8;;8,9;;48,7;5,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9ns699xp353c84r1g6epazycl;Levante;home;48,7;8,9;;;;;;;0;0;0;8;Deportivo La Coruña;8;DR;1,0
