id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_PlayerPosition;value_TeamFormation;value_Captain;value_JerseyNumber;value_TeamPlayerFormation;value_Involved;value_Resume;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Angle;value_Zone;value_Length;value_PassEndY;value_PassEndX;value_Chipped;value_LongBall;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_BlockedPass;value_Defensive;value_Launch;value_IntendedTackleTarget;value_DeletedEventType;value_HeadPass;value_FlickOn;value_Cross;value_GoalmouthZ;value_FirstTouch;value_SmallBoxRight;value_NotAssisted;value_GkY;value_GkX;value_CloseHigh;value_GoalmouthY;value_RightFooted;value_RegularPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_Head;value_Standing;value_VideoCoverageLost;value_Direct;value_Handball;value_NotVisible;value_FreeKickTaken;value_IntentionalAssist;value_Assist;value_GoalShotGameClock;value_LowLeft;value_GoalShotTimestamp;value_BoxCentre;value_BigChance;value_Assisted;value_Review;value_RelatedEventId;value_RefereeDelay;value_VarDelay;value_AwaitingOfficial'SDecision;value_VarGoalAwarded;value_RefereeDecisionConfirmed;value_ReviewedEventId;value_AttemptedTackle;value_Foul;value_ThroughBall;value_BlockedCross;value_Left;value_InSwinger;value_CornerTaken;value_LayOff;value_OutOfPlay;value_Right;value_HighRight;value_LeftFooted;value_FromCorner;value_PlayersCaughtOffside;value_Indirect;value_LeadingToAttempt;value_CloseLeft;value_RelatedError1Id;value_High;value_GkKickFromHands;value_SmallBoxCentre;value_NotPastGoalLine;value_BlockedY;value_BlockedX;value_CloseRight;value_KeeperThrow;value_OutOfBoxCentre;value_IndividualPlay;value_Hands;value_Collected;value_OutSwinger;value_SwitchOfPlay;value_Minutes;value_BlockedClearance;value_Blocked;value_BoxLeft;value_DefBlock;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_Tap;value_YellowCard;value_RecklessOffence;value_HighCentre;value_ThrowInSetPiece;value_ParriedSafe;value_SmallBoxLeft;value_ShirtPull/Holding;value_CaptainChange;value_HighClaim;value_Overrun;value_VarPenaltyNotAwarded;value_OverhitCross;value_LowCentre;value_InjuredPlayerId;value_Injury;value_Deflection;value_LowRight;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2903330881;1;34;16;0;0;e572hd1tl54f2i5w6px2q7a0l;1;0,0;0,0;2026-02-22T14:12:55.294Z;2026-02-22T14:56:39Z;[{'id': 6222982811, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6222982815, 'qualifierId': 130, 'value': '10'}, {'id': 6222982819, 'qualifierId': 194, 'value': '61103f3yhhms1lylloihvbrv9'}, {'id': 6222982813, 'qualifierId': 59, 'value': '13, 35, 16, 5, 14, 4, 8, 20, 9, 11, 6, 1, 2, 7, 17, 19, 22, 23'}, {'id': 6222982817, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6222982809, 'qualifierId': 30, 'value': '8641fhzuivkkg4v6dbq3gk8wk, 8unmuo1imr7gm8orut9oc01zo, ev8an510kk4nb6dabnsa962tx, 3z28s1hxotsotff4nxy2bts0k, 6ufssidf65zo52ru9q644hq3u, 6k6a6v5gifzgjyhng61jn4qju, 61103f3yhhms1lylloihvbrv9, 5w3y2f2ydr2ecq90cdzbn6ns9, eixpfphvgcs99fdd8ihwzdca2, 293y2r9th3zox13comwm05vdg, 4ugc78y1gi2xet806zx036uei, a6x0w263q3g772n9qk4u22rc9, 2zusproy6sbf3449n14bosg5x, 5gge878ifkek8qhmn5l4przmc, 7n2m14ucjuyyae4g9gb7jwxuy, bows51pg0h4042274cvzwtmcq, 6q30y9fq2eswsxahxr9081q3u, 5x0tybwaedwxl85fj7p3zdjv9'}, {'id': 6222982821, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6223237257, 'qualifierId': 197, 'value': '33903'}];;;;;8cuardpf2jimws64c0qsc0xlg;Team set up;;10,0;;;;;;33903,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e572hd1tl54f2i5w6px2q7a0l;Espanyol;away;;;;;;;;;0;0;0;0;Real Sociedad;0;;
2903332465;1;34;16;0;0;9euoni3f3sh08tsplt2gh5dex;1;0,0;0,0;2026-02-22T14:14:18.381Z;2026-02-22T14:57:06Z;[{'id': 6222991843, 'qualifierId': 59, 'value': '1, 12, 11, 5, 2, 3, 19, 22, 18, 7, 10, 13, 4, 6, 8, 9, 14, 21, 24'}, {'id': 6222991845, 'qualifierId': 130, 'value': '2'}, {'id': 6222991839, 'qualifierId': 30, 'value': '45pmlzxmvskwfuohprov6w5jo, cp37td3qaw8oyf3mznoh45o15, 7lto783h9yi1uhb9wuxzem63u, 1z29kbiufzx7u32mh1fvy1rs9, a5b2mmssttscc0k5rss87lhey, lanj0745tf4i4hige9vm9qll, 8m8fk05kqcs7ver68ubl61mju, bixjzl99gkes918s5gbndtwwl, b2u61v5d5ft35zscy7b2a6v2t, ergobfal6ny5w6xy1hsixrdhw, 1lvwjd2sedbk3gs9p2v34cdt5, 8889zmr20jikdu7nb0ukkolck, ey99we6lsli3b9zluzlh1pjx0, bduld1olx8c2hbx4lvcnkcl5g, 14c84da3uglvp8gtjpxospo4q, 2t32h7nbjkouc968jbm8cax62, cau3u3q1mkciy5x6rq5xwj8k4, enc694gvlgycx72bhat5f7wbu, be8u2dq14e0ry7criuqpuukno'}, {'id': 6222991851, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6222991847, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6223238591, 'qualifierId': 197, 'value': '31738'}, {'id': 6222991841, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6222991849, 'qualifierId': 194, 'value': '1lvwjd2sedbk3gs9p2v34cdt5'}];;;;;8cuardpf2jimws64c0qsc0xlg;Team set up;;2,0;;;;;;31738,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9euoni3f3sh08tsplt2gh5dex;Real Sociedad;home;;;;;;;;;0;0;0;0;Espanyol;0;;
2903379521;2;32;1;0;0;e572hd1tl54f2i5w6px2q7a0l;1;0,0;0,0;2026-02-22T15:01:48.905Z;2026-02-22T15:01:49Z;[{'id': 6223253003, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;8cuardpf2jimws64c0qsc0xlg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e572hd1tl54f2i5w6px2q7a0l;Espanyol;away;;;;;;;;;0;0;0;0;Real Sociedad;0;;
2903379539;2;32;1;0;0;9euoni3f3sh08tsplt2gh5dex;1;0,0;0,0;2026-02-22T15:01:48.905Z;2026-02-22T15:01:50Z;[{'id': 6223253083, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;8cuardpf2jimws64c0qsc0xlg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9euoni3f3sh08tsplt2gh5dex;Real Sociedad;home;;;;;;;;;0;0;0;0;Espanyol;0;;
2903379541;3;1;1;0;0;e572hd1tl54f2i5w6px2q7a0l;1;50,0;50,0;2026-02-22T15:01:48.906Z;2026-02-22T15:01:50Z;[{'id': 6223253095, 'qualifierId': 279, 'value': 'S'}, {'id': 6223253093, 'qualifierId': 213, 'value': '3.62'}, {'id': 6223253085, 'qualifierId': 56, 'value': 'Back'}, {'id': 6223253091, 'qualifierId': 212, 'value': '13.4'}, {'id': 6223253089, 'qualifierId': 141, 'value': '40.9'}, {'id': 6223253087, 'qualifierId': 140, 'value': '38.7'}];eixpfphvgcs99fdd8ihwzdca2;Ángeles del Álamo;;;8cuardpf2jimws64c0qsc0xlg;Pass;;;;;;;;;;;3,62;;13,4;40,9;38,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e572hd1tl54f2i5w6px2q7a0l;Espanyol;away;38,7;40,9;;;;;;;0;0;0;0;Real Sociedad;0;FW;1,0
2903379583;4;1;1;0;1;e572hd1tl54f2i5w6px2q7a0l;1;38,7;40,9;2026-02-22T15:01:50.712Z;2026-02-22T15:03:18Z;[{'id': 6223253313, 'qualifierId': 213, 'value': '3.08'}, {'id': 6223253309, 'qualifierId': 141, 'value': '42.2'}, {'id': 6223253307, 'qualifierId': 140, 'value': '25.9'}, {'id': 6223253305, 'qualifierId': 56, 'value': 'Back'}, {'id': 6223253311, 'qualifierId': 212, 'value': '13.5'}];5w3y2f2ydr2ecq90cdzbn6ns9;Anna Torrodà;;;8cuardpf2jimws64c0qsc0xlg;Pass;;;;;;;;;;;3,08;;13,5;42,2;25,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e572hd1tl54f2i5w6px2q7a0l;Espanyol;away;25,9;42,2;;;;;;;0;0;0;1;Real Sociedad;1;MC;1,0
2903379613;5;1;1;0;5;e572hd1tl54f2i5w6px2q7a0l;1;25,6;42,5;2026-02-22T15:01:53.943Z;2026-02-22T15:01:57Z;[{'id': 6223253469, 'qualifierId': 56, 'value': 'Back'}, {'id': 6223253475, 'qualifierId': 212, 'value': '19.5'}, {'id': 6223253471, 'qualifierId': 140, 'value': '26.0'}, {'id': 6223253473, 'qualifierId': 141, 'value': '71.2'}, {'id': 6223253477, 'qualifierId': 213, 'value': '1.55'}];6ufssidf65zo52ru9q644hq3u;L. Ballesté;;;8cuardpf2jimws64c0qsc0xlg;Pass;;;;;;;;;;;1,55;;19,5;71,2;26,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e572hd1tl54f2i5w6px2q7a0l;Espanyol;away;26,0;71,2;;;;;;;0;0;0;5;Real Sociedad;5;DC;1,0
2903379643;6;1;1;0;8;e572hd1tl54f2i5w6px2q7a0l;0;26,3;82,3;2026-02-22T15:01:57.225Z;2026-02-22T15:02:00Z;[{'id': 6223253665, 'qualifierId': 155}, {'id': 6223253673, 'qualifierId': 212, 'value': '66.3'}, {'id': 6223253675, 'qualifierId': 213, 'value': '0.19'}, {'id': 6223253667, 'qualifierId': 56, 'value': 'Left'}, {'id': 6223253669, 'qualifierId': 140, 'value': '88.3'}, {'id': 6223253677, 'qualifierId': 1}, {'id': 6223253671, 'qualifierId': 141, 'value': '100.0'}];3z28s1hxotsotff4nxy2bts0k;Lucía Vallejo;;;8cuardpf2jimws64c0qsc0xlg;Pass;;;;;;;;;;;0,19;;66,3;100,0;88,3;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e572hd1tl54f2i5w6px2q7a0l;Espanyol;away;88,3;100,0;;;;;;;0;0;0;8;Real Sociedad;8;DC;1,0
2903379775;3;5;1;0;11;9euoni3f3sh08tsplt2gh5dex;1;12,0;-0,7;2026-02-22T15:02:00.284Z;2026-02-22T15:58:33Z;[{'id': 6223254373, 'qualifierId': 347}, {'id': 6223254371, 'qualifierId': 56, 'value': 'Back'}, {'id': 6223254413, 'qualifierId': 233, 'value': '7'}];b2u61v5d5ft35zscy7b2a6v2t;C. Lavogez;;;8cuardpf2jimws64c0qsc0xlg;Out;;;;;;;;;;;;;;;;;;1,0;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9euoni3f3sh08tsplt2gh5dex;Real Sociedad;home;;;;;;;;;0;0;0;11;Espanyol;11;FW;1,0
2903379649;7;5;1;0;11;e572hd1tl54f2i5w6px2q7a0l;0;87,9;100,7;2026-02-22T15:02:00.284Z;2026-02-22T15:02:10Z;[{'id': 6223254463, 'qualifierId': 233, 'value': '3'}, {'id': 6223253707, 'qualifierId': 56, 'value': 'Left'}, {'id': 6223253709, 'qualifierId': 347}];3z28s1hxotsotff4nxy2bts0k;Lucía Vallejo;;;8cuardpf2jimws64c0qsc0xlg;Out;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;e572hd1tl54f2i5w6px2q7a0l;Espanyol;away;;;;;;;;;0;0;0;11;Real Sociedad;11;DC;1,0
