id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamPlayerFormation;value_TeamKit;value_JerseyNumber;value_Resume;value_TeamFormation;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_PassEndY;value_PassEndX;value_Length;value_Angle;value_Zone;value_KickOff;value_LayOff;value_BlockedPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_IntendedTackleTarget;value_OutOfPlay;value_Standing;value_NextEventThrowIn;value_ThrowIn;value_LongBall;value_Launch;value_TouchTypePass;value_Chipped;value_IntentionalAssist;value_Assist;value_GkX;value_RegularPlay;value_GoalmouthZ;value_Head;value_Assisted;value_GkY;value_FirstTouch;value_GoalmouthY;value_RelatedEventId;value_BoxCentre;value_CloseRight;value_NextEventGoalKick;value_NotVisible;value_GoalKick;value_High;value_Cross;value_BlockedCross;value_Low;value_BlockedX;value_RightFooted;value_Blocked;value_OutOfBoxCentre;value_BlockedY;value_IndividualPlay;value_LowCentre;value_DefBlock;value_Left;value_InSwinger;value_CornerTaken;value_AttemptedTackle;value_PenaltyTakerId;value_Foul;value_Direct;value_Review;value_Penalty;value_VarDelay;value_AwaitingOfficial'SDecision;value_RefereeDelay;value_VarPenaltyAwarded;value_RefereeDecisionConfirmed;value_ReviewedEventId;value_Diving;value_Scored;value_LowLeft;value_GoalShotTimestamp;value_Second(2Nd)OppositeRelatedEventId;value_NotAssisted;value_GoalShotGameClock;value_BigChance;value_CausingPlayer;value_DeletedEventType;value_ThroughBall;value_GkKickFromHands;value_SmallBoxLeft;value_HighCentre;value_Collected;value_Hands;value_KeeperThrow;value_Overrun;value_IncorrectOutOfPlayDecision;value_HighRight;value_ParriedDanger;value_Fumble;value_Right;value_OutSwinger;value_Indirect;value_LeftFooted;value_FreeKickTaken;value_ShirtPull/Holding;value_HeadPass;value_SmallBoxCentre;value_Volley;value_FlickOn;value_FromCorner;value_LowRight;value_PlayersCaughtOffside;value_SixYardBlocked;value_PullBack;value_NotPastGoalLine;value_Handball;value_BoxDeepLeft;value_OutOnSideline;value_BlockedClearance;value_35Centre;value_Minutes;value_BoxLeft;value_Stooping;value_EndType;value_CloseHigh;value_BoxRight;value_Injury;value_InjuredPlayerId;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_OverhitCross;value_HitWoodwork;value_HitBar;value_ParriedSafe;value_FastBreak;value_CaptainChange;value_TimeWasting;value_YellowCard;value_TempShotOn;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2902742835;1;34;16;0;0;bop6aslxmwvzsapdxsw3xbvfg;1;0,0;0,0;2026-02-21T16:36:40.503Z;2026-02-21T18:15:26Z;[{'id': 6219702579, 'qualifierId': 194, 'value': '5h9k65zukry196snla3xgmh91'}, {'id': 6219702577, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6219959163, 'qualifierId': 197, 'value': '31020'}, {'id': 6219702573, 'qualifierId': 59, 'value': '1, 22, 43, 16, 8, 23, 10, 19, 17, 6, 9, 37, 7, 11, 12, 18, 24, 35, 40'}, {'id': 6219702581, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6219702575, 'qualifierId': 130, 'value': '7'}, {'id': 6219702567, 'qualifierId': 30, 'value': '2qfg4adqsjv2qmt9up7iq2t7u, 4ihrb3uj478vlzrbh94jj1i3t, 9rsur3gfjgnph7sz7eib0qtxw, 7rjsbi47xin44fsik0ynb9tsk, 5h9k65zukry196snla3xgmh91, xa2t4w7bc0u17feyc0uqqz2s, 2cl7scn4j10rfq44mweo735cl, 7mehm5v7egyc1r4qioexklbmc, 9hmgd3x5tekj4fnf0zju3i1ud, 3420vq0z953hw7ndu07n7jy1g, aib5wgtlgl48jaezcguoxkmp5, 57u4dxe1429q0ymhfp66h908a, 40wxai4gm0pdry6545i5c68ve, 5exouoey2r6wtpympr6drg3it, 22zrashyijuh9pnjovqpyl8lx, bzcupszwezr2tzjpytyv2fka2, 176njz1rsl05rfeqmwlgq6jje, 52on9cj17axyr16k8ssgbnod0, 3nqssnhct8j93q34cf93qjxg4'}, {'id': 6219702569, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;8d879ol25noswi79mfshf9rf8;Team set up;;;31020,0;;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bop6aslxmwvzsapdxsw3xbvfg;Barcelona;away;;;;;;;;;;0;0;0;Granada;0;;
2902745309;1;34;16;0;0;2yt41edbtlrasj4t5nv3w64re;1;0,0;0,0;2026-02-21T16:37:55.195Z;2026-02-21T17:12:30Z;[{'id': 6219716451, 'qualifierId': 130, 'value': '11'}, {'id': 6219716445, 'qualifierId': 30, 'value': '7m2fv4mhu2by1x4do4zcaowk5, c7zr4rsbfl44fj4pb17x1pq8k, 4ak2mt9xvwk4gfaelzmepnthw, 9i7s0i339mhm6ti8lyxccjill, bicmxppu75bh6rgyzqx5qxec5, 6b6z7vhhoovb7opllv46vbuhg, 1lybuapncprmnqk70r7lxy4mh, c6q4h9frvh30jmy0ct4q9nthw, eypv2099aa09etu0gmpq8jp5g, 6l0zqi57ojdsf22ghml6a6hyi, dqog4dw9xboa7pdyhnjkl5d04, el6xds3bbua7kaulsbv85i044, 9ki1cb5hp0krqo9atujkintas, a0g0ldiol9fzw09gk5i9e15w4, 1nhju64j5loikn6t0j9m6au39, dbn14eujv4x4h7cwpknffoahg, 7dc1s1kds5rlolqdnina1ayhg, 8cyxqww97g2gshtrdlg0lpq8k, auacqjlcwr0qbvl7okdjs79xw'}, {'id': 6219716453, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6219716457, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 6219716447, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 6219716455, 'qualifierId': 194, 'value': 'c6q4h9frvh30jmy0ct4q9nthw'}, {'id': 6219716449, 'qualifierId': 59, 'value': '13, 18, 3, 12, 20, 5, 7, 10, 9, 6, 11, 1, 8, 14, 22, 27, 28, 30, 34'}, {'id': 6219959175, 'qualifierId': 197, 'value': '14204'}];;;;;8d879ol25noswi79mfshf9rf8;Team set up;;;14204,0;;;11,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2yt41edbtlrasj4t5nv3w64re;Granada;home;;;;;;;;;;0;0;0;Barcelona;0;;
2902793323;2;32;1;0;0;bop6aslxmwvzsapdxsw3xbvfg;1;0,0;0,0;2026-02-21T17:16:21.647Z;2026-02-21T17:16:21Z;[{'id': 6219975941, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;8d879ol25noswi79mfshf9rf8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bop6aslxmwvzsapdxsw3xbvfg;Barcelona;away;;;;;;;;;;0;0;0;Granada;0;;
2902793337;2;32;1;0;0;2yt41edbtlrasj4t5nv3w64re;1;0,0;0,0;2026-02-21T17:16:21.647Z;2026-02-21T17:16:22Z;[{'id': 6219976031, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;8d879ol25noswi79mfshf9rf8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2yt41edbtlrasj4t5nv3w64re;Granada;home;;;;;;;;;;0;0;0;Barcelona;0;;
2902793365;3;1;1;0;0;bop6aslxmwvzsapdxsw3xbvfg;1;49,9;49,9;2026-02-21T17:16:21.648Z;2026-02-21T19:10:36Z;[{'id': 6219976165, 'qualifierId': 141, 'value': '49.4'}, {'id': 6219976163, 'qualifierId': 140, 'value': '41.0'}, {'id': 6219976167, 'qualifierId': 212, 'value': '9.4'}, {'id': 6219976169, 'qualifierId': 213, 'value': '3.18'}, {'id': 6219976161, 'qualifierId': 56, 'value': 'Back'}, {'id': 6219976171, 'qualifierId': 279, 'value': 'S'}];9hmgd3x5tekj4fnf0zju3i1ud;E. Pajor;;;8d879ol25noswi79mfshf9rf8;Pass;;;;;;;;;;49,4;41,0;9,4;3,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bop6aslxmwvzsapdxsw3xbvfg;Barcelona;away;41,0;49,4;;;;;;;;0;0;0;Granada;0;FW;1,0
2902793431;4;1;1;0;1;bop6aslxmwvzsapdxsw3xbvfg;1;41,0;49,4;2026-02-21T17:16:23.292Z;2026-02-21T17:16:26Z;[{'id': 6219976545, 'qualifierId': 141, 'value': '39.2'}, {'id': 6219976543, 'qualifierId': 140, 'value': '44.9'}, {'id': 6219976547, 'qualifierId': 212, 'value': '8.1'}, {'id': 6219976549, 'qualifierId': 213, 'value': '5.25'}, {'id': 6219976541, 'qualifierId': 56, 'value': 'Back'}];7rjsbi47xin44fsik0ynb9tsk;Clara Serrajordi;;;8d879ol25noswi79mfshf9rf8;Pass;;;;;;;;;;39,2;44,9;8,1;5,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bop6aslxmwvzsapdxsw3xbvfg;Barcelona;away;44,9;39,2;;;;;;;;0;0;1;Granada;1;DMC;1,0
2902793441;5;1;1;0;5;bop6aslxmwvzsapdxsw3xbvfg;1;44,9;39,2;2026-02-21T17:16:26.813Z;2026-02-21T17:16:28Z;[{'id': 6219976609, 'qualifierId': 141, 'value': '24.6'}, {'id': 6219976607, 'qualifierId': 140, 'value': '47.4'}, {'id': 6219976605, 'qualifierId': 56, 'value': 'Back'}, {'id': 6219976611, 'qualifierId': 212, 'value': '10.3'}, {'id': 6219976613, 'qualifierId': 213, 'value': '4.97'}];7mehm5v7egyc1r4qioexklbmc;Vicky López;;;8d879ol25noswi79mfshf9rf8;Pass;;;;;;;;;;24,6;47,4;10,3;4,97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bop6aslxmwvzsapdxsw3xbvfg;Barcelona;away;47,4;24,6;;;;;;;;0;0;5;Granada;5;MC;1,0
2902793475;6;1;1;0;6;bop6aslxmwvzsapdxsw3xbvfg;1;47,4;24,6;2026-02-21T17:16:28.365Z;2026-02-21T17:16:31Z;[{'id': 6219976801, 'qualifierId': 213, 'value': '1.86'}, {'id': 6219976795, 'qualifierId': 140, 'value': '44.3'}, {'id': 6219976799, 'qualifierId': 212, 'value': '11.4'}, {'id': 6219976793, 'qualifierId': 56, 'value': 'Back'}, {'id': 6219976797, 'qualifierId': 141, 'value': '40.6'}];4ihrb3uj478vlzrbh94jj1i3t;Ona Batlle;;;8d879ol25noswi79mfshf9rf8;Pass;;;;;;;;;;40,6;44,3;11,4;1,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bop6aslxmwvzsapdxsw3xbvfg;Barcelona;away;44,3;40,6;;;;;;;;0;0;6;Granada;6;DR;1,0
2902793553;7;1;1;0;9;bop6aslxmwvzsapdxsw3xbvfg;1;44,9;40,4;2026-02-21T17:16:30.965Z;2026-02-21T17:16:37Z;[{'id': 6219977285, 'qualifierId': 141, 'value': '63.4'}, {'id': 6219977289, 'qualifierId': 213, 'value': '1.52'}, {'id': 6219977281, 'qualifierId': 56, 'value': 'Back'}, {'id': 6219977283, 'qualifierId': 140, 'value': '45.6'}, {'id': 6219977287, 'qualifierId': 212, 'value': '15.7'}];5h9k65zukry196snla3xgmh91;Marta Torrejón;;;8d879ol25noswi79mfshf9rf8;Pass;;;;;;;;;;63,4;45,6;15,7;1,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bop6aslxmwvzsapdxsw3xbvfg;Barcelona;away;45,6;63,4;;;;;;;;0;0;9;Granada;9;DL;1,0
2902793579;8;1;1;0;15;bop6aslxmwvzsapdxsw3xbvfg;1;54,4;69,3;2026-02-21T17:16:37.028Z;2026-02-21T17:16:39Z;[{'id': 6219977441, 'qualifierId': 141, 'value': '51.8'}, {'id': 6219977443, 'qualifierId': 212, 'value': '15.0'}, {'id': 6219977439, 'qualifierId': 140, 'value': '45.7'}, {'id': 6219977437, 'qualifierId': 56, 'value': 'Back'}, {'id': 6219977445, 'qualifierId': 213, 'value': '4.06'}];xa2t4w7bc0u17feyc0uqqz2s;Aïcha Cámara;;;8d879ol25noswi79mfshf9rf8;Pass;;;;;;;;;;51,8;45,7;15,0;4,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bop6aslxmwvzsapdxsw3xbvfg;Barcelona;away;45,7;51,8;;;;;;;;0;0;15;Granada;15;DC;1,0
